Ligand ID,Structure ID,Structure link,Glytoucan ID,Glytoucan link
63,61,https://sugarbind.expasy.org/structures/61,G98465JN,https://glytoucan.org/Structures/Glycans/G98465JN
69,66,https://sugarbind.expasy.org/structures/66,G32969VW,https://glytoucan.org/Structures/Glycans/G32969VW
90,84,https://sugarbind.expasy.org/structures/84,G19336PT,https://glytoucan.org/Structures/Glycans/G19336PT
89,83,https://sugarbind.expasy.org/structures/83,G88796WA,https://glytoucan.org/Structures/Glycans/G88796WA
88,82,https://sugarbind.expasy.org/structures/82,G65889KE,https://glytoucan.org/Structures/Glycans/G65889KE
91,85,https://sugarbind.expasy.org/structures/85,G62971NJ,https://glytoucan.org/Structures/Glycans/G62971NJ
97,91,https://sugarbind.expasy.org/structures/91,G03777BI,https://glytoucan.org/Structures/Glycans/G03777BI
95,89,https://sugarbind.expasy.org/structures/89,G98544DH,https://glytoucan.org/Structures/Glycans/G98544DH
182,171,https://sugarbind.expasy.org/structures/171,G90889KG,https://glytoucan.org/Structures/Glycans/G90889KG
104,98,https://sugarbind.expasy.org/structures/98,G08855PJ,https://glytoucan.org/Structures/Glycans/G08855PJ
53,51,https://sugarbind.expasy.org/structures/51,G65507FU,https://glytoucan.org/Structures/Glycans/G65507FU
119,113,https://sugarbind.expasy.org/structures/113,G96614JE,https://glytoucan.org/Structures/Glycans/G96614JE
120,114,https://sugarbind.expasy.org/structures/114,G87245HS,https://glytoucan.org/Structures/Glycans/G87245HS
122,115,https://sugarbind.expasy.org/structures/115,G72692DY,https://glytoucan.org/Structures/Glycans/G72692DY
135,128,https://sugarbind.expasy.org/structures/128,G16194TN,https://glytoucan.org/Structures/Glycans/G16194TN
136,129,https://sugarbind.expasy.org/structures/129,G29313LW,https://glytoucan.org/Structures/Glycans/G29313LW
144,136,https://sugarbind.expasy.org/structures/136,G41709CA,https://glytoucan.org/Structures/Glycans/G41709CA
142,134,https://sugarbind.expasy.org/structures/134,G60011XD,https://glytoucan.org/Structures/Glycans/G60011XD
149,141,https://sugarbind.expasy.org/structures/141,G55958KV,https://glytoucan.org/Structures/Glycans/G55958KV
73,69,https://sugarbind.expasy.org/structures/69,G17780OR,https://glytoucan.org/Structures/Glycans/G17780OR
153,145,https://sugarbind.expasy.org/structures/145,G50899UD,https://glytoucan.org/Structures/Glycans/G50899UD
118,112,https://sugarbind.expasy.org/structures/112,G07169WN,https://glytoucan.org/Structures/Glycans/G07169WN
193,181,https://sugarbind.expasy.org/structures/181,G11485ID,https://glytoucan.org/Structures/Glycans/G11485ID
159,151,https://sugarbind.expasy.org/structures/151,G37563FN,https://glytoucan.org/Structures/Glycans/G37563FN
165,156,https://sugarbind.expasy.org/structures/156,G65889KE,https://glytoucan.org/Structures/Glycans/G65889KE
166,157,https://sugarbind.expasy.org/structures/157,G65889KE,https://glytoucan.org/Structures/Glycans/G65889KE
164,155,https://sugarbind.expasy.org/structures/155,G00407UJ,https://glytoucan.org/Structures/Glycans/G00407UJ
173,162,https://sugarbind.expasy.org/structures/162,G02880JU,https://glytoucan.org/Structures/Glycans/G02880JU
177,166,https://sugarbind.expasy.org/structures/166,G55205ZV,https://glytoucan.org/Structures/Glycans/G55205ZV
178,167,https://sugarbind.expasy.org/structures/167,G06000DZ,https://glytoucan.org/Structures/Glycans/G06000DZ
183,172,https://sugarbind.expasy.org/structures/172,G28330DZ,https://glytoucan.org/Structures/Glycans/G28330DZ
190,178,https://sugarbind.expasy.org/structures/178,G00998NI,https://glytoucan.org/Structures/Glycans/G00998NI
194,182,https://sugarbind.expasy.org/structures/182,G03506YN,https://glytoucan.org/Structures/Glycans/G03506YN
121,58,https://sugarbind.expasy.org/structures/58,G32254QI,https://glytoucan.org/Structures/Glycans/G32254QI
11,11,https://sugarbind.expasy.org/structures/11,G54721WC,https://glytoucan.org/Structures/Glycans/G54721WC
29,27,https://sugarbind.expasy.org/structures/27,G04616ST,https://glytoucan.org/Structures/Glycans/G04616ST
52,50,https://sugarbind.expasy.org/structures/50,G82858KU,https://glytoucan.org/Structures/Glycans/G82858KU
